danbooru_tag,internal_tag_title,action
4koma,4koma,map
;(,^_^,map
;3,:3,map
ahoge,ahoge,map
alcohol,alcohol,map
android,android,map
angel,angel,map
angry,angry,map
animal,animal,map
animal_ears,animal ears,map
apron,apron,map
autumn,autumn,map
baking,baking,map
balloon,balloon,map
barefoot,barefoot,map
beach,beach,map
bed,bed,map
bikini,bikini,map
bird,bird,map
birdcage,birdcage,map
birthday,birthday,map
black_eyes,black eyes,map
black_hair,black hair,map
blanket,blanket,map
blonde_hair,blonde hair,map
blue_eyes,blue eyes,map
blue_hair,blue hair,map
blush,blush,map
boat,boat,map
bodysuit,bodysuit,map
book,book,map
boots,boots,map
box,box,map
brown_eyes,brown eyes,map
brown_hair,brown hair,map
bubble,bubble,map
butterfly,butterfly,map
cake,cake,map
camera,camera,map
candle,candle,map
candy,candy,map
cape,cape,map
card,card,map
cat,cat,map
cat_ears,cat ears,map
cellphone,cellphone,map
chain,chain,map
cheerleader,cheerleader,map
chibi,chibi,map
child,child,map
choker,choker,map
christmas,christmas,map
cloak,cloak,map
clock,clock,map
collar,collar,map
comic,comic,map
computer,computer,map
cooking,cooking,map
cosmetics,cosmetics,map
cosplay,cosplay,map
couple,couple,map
crossdressing,cross-dressing,map
crossover,crossover,map
crying,crying,map
curly_hair,curly hair,map
dark_skin,dark skin,map
dog,dog,map
dog_ears,dog ears,map
doll,doll,map
dragon,dragon,map
dress,dress,map
drink,drink,map
earbuds,earbuds,map
earmuffs,earmuffs,map
eating,eating,map
envelope,envelope,map
eyepatch,eyepatch,map
fairy,fairy,map
fang,fang,map
ferris_wheel,ferris wheel,map
fighting,fighting,map
fire,fire,map
fireworks,fireworks,map
fish,fish,map
flower,flower,map
flying,flying,map
food,food,map
fox,fox,map
fox_ears,fox ears,map
freckles,freckles,map
genderswap,genderswap,map
ghost,ghost,map
glasses,glasses,map
gloves,gloves,map
goggles,goggles,map
green_eyes,green eyes,map
green_hair,green hair,map
grey_eyes,grey eyes,map
grey_hair,grey hair,map
guitar,guitar,map
gun,gun,map
gyaru,gyaru,map
hakama,hakama,map
halloween,halloween,map
hanbok,hanbok,map
happy,happy,map
hat,hat,map
headdress,headdress,map
headphones,headphones,map
heart,heart,map
helmet,helmet,map
heterochromia,heterochromia,map
high_heels,high heels,map
holding_hands,holding hands,map
hood,hood,map
horns,horns,map
hourglass,hourglass,map
hug,hug,map
ice,ice,map
ice_cream,ice cream,map
jacket,jacket,map
jewelry,jewelry,map
key,key,map
kigurumi,kigurumi,map
kimono,kimono,map
kiss,kiss,map
kitsune,kitsune,map
knife,knife,map
kotatsu,kotatsu,map
lolita_fashion,lolita fashion,map
long_hair,long hair,map
magic,magic,map
magical_girl,magical girl,map
maid,maid,map
mask,mask,map
mecha,mecha,map
mecha_musume,mecha musume,map
mermaid,mermaid,map
microphone,microphone,map
miko,miko,map
mirror,mirror,map
monochrome,monochrome,map
monocle,monocle,map
monster,monster,map
moon,moon,map
motorcycle,motorcycle,map
mouse_ears,mouse ears,map
music,music,map
nail_polish,nail polish,map
night,night,map
ninja,ninja,map
nosebleed,nosebleed,map
nun,nun,map
nurse,nurse,map
onsen,onsen,map
orange_eyes,orange eyes,map
orange_hair,orange hair,map
overalls,overalls,map
pajamas,pajamas,map
pants,pants,map
pantyhose,pantyhose,map
paw_gloves,paw gloves,map
personification,personification,map
piano,piano,map
pillow,pillow,map
pink_eyes,pink eyes,map
pink_hair,pink hair,map
pirate,pirate,map
pointy_ears,pointy ears,map
polearm,polearm,map
ponytail,ponytail,map
pool,pool,map
purple_eyes,purple eyes,map
purple_hair,purple hair,map
rabbit,rabbit,map
rabbit_ears,rabbit ears,map
race_queen,race queen,map
rain,rain,map
rainbow,rainbow,map
raincoat,raincoat,map
randoseru,randoseru,map
red_eyes,red eyes,map
red_hair,red hair,map
ribbon,ribbon,map
sad,sad,map
sake,sake,map
samurai,samurai,map
sandals,sandals,map
sarashi,sarashi,map
scared,scared,map
scarf,scarf,map
school_bag,school bag,map
school_swimsuit,school swimsuit,map
school_uniform,school uniform,map
scythe,scythe,map
short_hair,short hair,map
short_kimono,short kimono,map
shorts,shorts,map
shy,shy,map
singing,singing,map
sketch,sketch,map
skirt,skirt,map
sky,sky,map
smile,smile,map
smoking,smoking,map
sneakers,sneakers,map
snow,snow,map
soldier,soldier,map
spear,spear,map
staff,staff,map
stuffed_animal,stuffed animal,map
suit,suit,map
summer,summer,map
sundress,sundress,map
sunglasses,sunglasses,map
sunset,sunset,map
surprised,surprised,map
suspenders,suspenders,map
sweat,sweat,map
sweatdrop,sweatdrop,map
sweater,sweater,map
sweets,sweets,map
swimsuit,swimsuit,map
sword,sword,map
tail,tail,map
tattoo,tattoo,map
television,television,map
tiger,tiger,map
tiger_ears,tiger ears,map
tongue,tongue,map
towel,towel,map
tree,tree,map
twins,twins,map
umbrella,umbrella,map
underwater,underwater,map
uniform,uniform,map
valentine,valentine,map
valkyrie,valkyrie,map
vampire,vampire,map
veil,veil,map
violin,violin,map
waitress,waitress,map
wand,wand,map
warrior,warrior,map
watch,watch,map
water,water,map
weapon,weapon,map
wedding,wedding,map
wet,wet,map
wheelchair,wheelchair,map
white_hair,white hair,map
wings,wings,map
winter,winter,map
witch,witch,map
wolf,wolf,map
wolf_ears,wolf ears,map
yellow_eyes,yellow eyes,map
1boy,,ignore
1girl,,ignore
2boys,,ignore
2girls,,ignore
3boys,,ignore
3girls,,ignore
black_background,,ignore
close-up,,ignore
cowboy_shot,,ignore
dutch_angle,,ignore
explicit,,ignore
fisheye,,ignore
from_above,,ignore
from_behind,,ignore
from_below,,ignore
from_side,,ignore
full_body,,ignore
general,,ignore
gradient_background,,ignore
grey_background,,ignore
kneeling,,ignore
looking_at_viewer,,ignore
looking_away,,ignore
looking_back,,ignore
looking_down,,ignore
looking_up,,ignore
lower_body,,ignore
lying,,ignore
multiple_boys,,ignore
multiple_girls,,ignore
portrait,,ignore
questionable,,ignore
sensitive,,ignore
simple_background,,ignore
sitting,,ignore
solo,,ignore
standing,,ignore
two-tone_background,,ignore
upper_body,,ignore
white_background,,ignore
